key,cena,abs_rel,sq_rel,rmse,rmse_log,log10,d1,d2,d3,boundary_precision,boundary_recall,boundary_fscore,boundary_fmax,boundary_fmax_thresh,boundary_precision_at_fmax,boundary_recall_at_fmax,boundary_f_auc
seq0002__left_0001,seq0002,0.08145814388990402,0.049511104822158813,0.555416464805603,0.09911584854125977,0.03507217764854431,0.9835357666015625,0.9997673034667969,1.0,0.7711833119392395,0.8925341367721558,0.827433086246584,0.9910699387550829,0.02,0.9828887581825256,0.9993884563446045,0.7879665296470757
seq0002__left_0005,seq0002,0.07341346889734268,0.04112940654158592,0.5090944766998291,0.0897047221660614,0.031677089631557465,0.9889907836914062,0.9998092651367188,1.0,0.7694807052612305,0.8865090608596802,0.8238597017041844,0.9883149354404683,0.02,0.9780995845794678,0.9987459182739258,0.7874282766608862
seq0002__left_0009,seq0002,0.07960286736488342,0.04821348190307617,0.5538157224655151,0.09697863459587097,0.03432948887348175,0.9866371154785156,0.9998092651367188,1.0,0.7592938542366028,0.8656812906265259,0.8090049694337895,0.9872584516759751,0.02,0.9764499664306641,0.9983088970184326,0.7724763934939088
seq0002__left_0013,seq0002,0.08127748966217041,0.048698924481868744,0.5483624339103699,0.099092036485672,0.034918688237667084,0.9791603088378906,0.999755859375,1.0,0.7809900641441345,0.8783705830574036,0.8268229081619342,0.9861796150186789,0.02,0.9784057140350342,0.9940780401229858,0.7859747677230723
seq0002__left_0017,seq0002,0.08427250385284424,0.051729537546634674,0.5547940731048584,0.1040063351392746,0.03605777025222778,0.9691390991210938,0.999664306640625,1.0,0.7707403898239136,0.8660421967506409,0.8156168153333949,0.9899183996554669,0.02,0.981469988822937,0.9985135197639465,0.7799779183424856
seq0002__left_0021,seq0002,0.08699929714202881,0.06106306612491608,0.6451789140701294,0.10536316782236099,0.03714974969625473,0.9724998474121094,0.9997367858886719,1.0,0.7642017006874084,0.870195209980011,0.8137615227444364,0.9823494745096347,0.02,0.9781062602996826,0.9866296648979187,0.7824598895330008
seq0002__left_0025,seq0002,0.08268678188323975,0.05364280194044113,0.597993791103363,0.10021086782217026,0.0355440154671669,0.9787559509277344,0.9997787475585938,1.0,0.7660343647003174,0.8661580085754395,0.8130252422360513,0.9792532302337514,0.02,0.9751489758491516,0.9833921790122986,0.7833569810526535
seq0002__left_0029,seq0002,0.0786069929599762,0.047367967665195465,0.529313862323761,0.1005842462182045,0.033265817910432816,0.9528846740722656,0.9993247985839844,1.0,0.7655256986618042,0.8511043787002563,0.8060499223196317,0.975634486193809,0.02,0.970817506313324,0.9804995059967041,0.7726505947093136
seq0002__left_0033,seq0002,0.08704359829425812,0.06167498230934143,0.5739375352859497,0.11681284010410309,0.0359615758061409,0.9333839416503906,0.9947128295898438,0.9999008178710938,0.780120849609375,0.8287713527679443,0.8037105418223812,0.960371563202013,0.02,0.966372549533844,0.9544446468353271,0.749195557477982
seq0002__left_0037,seq0002,0.121333047747612,0.13224609196186066,0.8153939247131348,0.16746212542057037,0.048170849680900574,0.9215469360351562,0.9454536437988281,0.9964561462402344,0.769282877445221,0.787155032157898,0.778116344247003,0.9482417825177083,0.02,0.9651795029640198,0.9318882822990417,0.7136629876776295
seq0002__left_0041,seq0002,0.11528337001800537,0.1282530128955841,0.8624005317687988,0.16074952483177185,0.04587388038635254,0.9194488525390625,0.9491386413574219,0.9989852905273438,0.7686337828636169,0.8027617335319519,0.7853271586241354,0.9559438772095507,0.02,0.9648383855819702,0.9472118616104126,0.7119273068933182
seq0002__left_0045,seq0002,0.10980880260467529,0.11748311668634415,0.8178052306175232,0.155337393283844,0.043738946318626404,0.9221115112304688,0.9516067504882812,0.9993705749511719,0.7747286558151245,0.8022414445877075,0.7882450476972939,0.9529256059639366,0.02,0.964049220085144,0.9420557618141174,0.7107632832942006
seq0002__left_0049,seq0002,0.09357631206512451,0.06811600178480148,0.6046997904777527,0.12325777858495712,0.038686834275722504,0.9315414428710938,0.992095947265625,0.9999542236328125,0.790077805519104,0.8179208040237427,0.8037582496607011,0.9585312520870515,0.02,0.9666343331336975,0.9505628943443298,0.746572847576037
